ACTIONID,Count,高危機.死亡,TIPVDA,X1.4.5.6,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,家暴因素.不良嗜好.賭博.出入不正當場所,家暴因素.個性.生活習慣不合,家暴因素.其他,家暴因素.子女教養問題,家暴因素.性生活不協調,家暴因素.感情.外遇問題,家暴因素.施用毒品.禁藥或迷幻物品,家暴因素.照顧壓力,家暴因素.疑似或罹患精神疾病,家暴因素.經濟狀況不佳,家暴因素.親屬間相處問題,家暴因素.財務問題,家暴因素.財務支配或借貸問題,家暴因素.酗酒,成人家庭暴力兩造關係,被害人婚姻狀態,暴力型態.性暴力,暴力型態.精神暴力,暴力型態.經濟暴力,暴力型態.肢體暴力,使用武器,施暴武器說明,自殺意念,自殺行為,受暴持續總月數,求助時間差.小時,MAIMED,AGE,OCCUPATION,EDUCATION,lng,lat,district,town,Count_plus
DVP0186784,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,,0,0,1,4,1,32,服務業,9,121.5679985,25.0595138,松山區,新東里,1
DVP0187206,1,0,7,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,4,0,1,0,0,0,,0,0,84,3,1,26,專門職業,3,121.5732105,25.0502962,松山區,慈祐里,1
DVP0184544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,,0,0,0,5,1,53,,9,121.5065439,25.1239671,北投區,奇岩里,1
DV00720465,1,0,6,2,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,0,0,360,16,1,59,商業,5,121.5651869,24.9852086,文山區,忠順里,1
DVP0178196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,0,2,1,39,不詳,5,121.545394,24.998905,文山區,興豐里,1
DVP0160181,1,0,6,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,,0,0,12,18,1,33,,9,121.5757493,25.0428188,信義區,長春里,1
DVP0172301,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,,0,0,2,18,1,51,家庭管理,5,121.5068138,25.1350733,北投區,溫泉里,1
DI00400238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,,0,0,48,3,1,28,,5,121.5509739,24.9889141,文山區,華興里,1
DVP0137796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,1,NA,,NA,NA,0,10,1,34,不詳,5,121.5753834,25.0830972,內湖區,港華里,1
DV00655944,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,,0,0,12,123,1,39,服務業,5,121.5349326,25.0511265,中山區,朱園里,1
