"","ACTIONID","Count","predict","group","district","town"
"3383","DVP0146976",1,1.60724487179487,1,"文山區","興福里"
"3388","DVP0147366",1,1.54934343938147,1,"文山區","明義里"
"3394","DVP0147792",1,1.50436666666667,1,"大安區","車層里"
"3397","DVP0147902",1,1.56822472527473,1,"萬華區","菜園里"
"3435","DVP0149670",1,1.53130519480519,1,"中正區","龍光里"
"3445","DVP0150165",1,1.7226424963925,1,"中正區","忠勤里"
"3455","DVP0150484",1,1.62806227106227,1,"士林區","天福里"
"3456","DVP0150562",1,1.72802594604881,1,"中正區","永昌里"
"3458","DVP0150634",1,1.54037777777778,1,"信義區","國業里"
"3465","DVP0150813",1,1.51116367521368,1,"松山區","龍田里"
"3470","DVP0151314",1,1.65204260318171,1,"中正區","廈安里"
"3485","DVP0151692",1,1.5792,1,"內湖區","石潭里"
"3488","DVP0151732",1,1.52576363636364,1,"士林區","德行里"
"3491","DVP0151844",1,1.82937306719054,1,"大安區","龍門里"
"3493","DVP0151961",1,1.54533333333333,1,"大同區","至聖里"
"3505","DVP0152688",1,1.70735854861458,1,"中正區","林興里"
"3507","DVP0152714",1,1.66241424686425,1,"中正區","光復里"
"3508","DVP0152741",1,1.522,1,"松山區","鵬程里"
"3510","DVP0152880",1,1.53353333333333,1,"士林區","聖山里"
"3517","DVP0153187",1,1.6891905216603,1,"士林區","天玉里"
"3518","DVP0153219",1,1.51647893322458,1,"大同區","民權里"
"3523","DVP0153433",1,1.53906666666667,1,"南港區","東明里"
"3529","DVP0153731",1,1.70944626809972,1,"南港區","百福里"
"3539","DVP0154114",1,1.63073206943289,1,"萬華區","忠德里"
"3541","DVP0154217",1,1.65785826771619,1,"內湖區","湖興里"
"3545","DVP0154358",1,1.55298058608059,1,"大安區","民炤里"
"3559","DVP0155000",1,1.54196666666667,1,"文山區","政大里"
"3563","DVP0155152",1,1.58038888888889,1,"中正區","幸福里"
"3571","DVP0155335",1,1.52365984609706,1,"松山區","福成里"
"3588","DVP0155921",1,1.60152824093469,1,"松山區","吉祥里"
"3597","DVP0156162",1,1.61745079365079,1,"信義區","國業里"
"3601","DVP0156230",1,1.50107653983444,1,"南港區","新富里"
"3603","DVP0156243",1,1.62888023730434,1,"大安區","芳和里"
"3608","DVP0156368",1,1.61971558193441,1,"南港區","新富里"
"3636","DVP0157943",1,1.59536984126984,1,"內湖區","五分里"
"3643","DVP0158294",1,1.61448492063492,1,"萬華區","銘德里"
"3652","DVP0158650",1,1.53811989715711,1,"南港區","百福里"
"3660","DVP0159247",1,1.55215664335664,1,"大安區","建倫里"
"3671","DVP0159550",1,1.74,1,"內湖區","瑞陽里"
"3679","DVP0159696",1,1.73895000208364,1,"信義區","三犁里"
"3690","DVP0160253",1,1.59358127591141,1,"文山區","樟樹里"
"3691","DVP0160284",1,1.60291369047619,1,"中山區","行仁里"
"3698","DVP0160643",1,1.66458845785441,1,"中山區","劍潭里"
"3705","DVP0160954",1,1.6186,1,"南港區","萬福里"
"3706","DVP0160973",1,1.59053798396944,1,"中正區","龍光里"
"3712","DVP0161206",1,1.76020402340123,1,"萬華區","仁德里"
"3729","DVP0161889",1,1.58976666666667,1,"中山區","行仁里"
"3738","DVP0162279",1,1.64237564102564,1,"文山區","樟樹里"
"3746","DVP0162512",1,1.77825402745403,1,"大安區","黎元里"
"3751","DVP0162973",1,1.6727457999849,1,"北投區","永和里"
"3756","DVP0163182",1,1.68330333333333,1,"大安區","龍生里"
"3758","DVP0163350",1,1.57314029166912,1,"文山區","萬美里"
"3765","DVP0163818",1,1.59019090909091,1,"士林區","天母里"
"3787","DVP0164871",1,1.64031835637481,1,"南港區","合成里"
"3797","DVP0165437",1,1.58973333333333,1,"文山區","興業里"
"3814","DVP0165972",1,1.69067596818272,1,"士林區","社子里"
"3816","DVP0166011",1,1.74743006633889,1,"信義區","雅祥里"
"3824","DVP0166439",1,1.64738586322232,1,"松山區","吉仁里"
"3826","DVP0166630",1,1.6485306440871,1,"士林區","天福里"
"3827","DVP0166867",1,1.56243333333333,1,"南港區","百福里"
"3828","DVP0166899",1,1.5305316706777,1,"松山區","莊敬里"
"3853","DVP0167658",1,1.57535034965035,1,"中山區","朱馥里"
"3885","DVP0169143",1,1.53186121351767,1,"中正區","建國里"
"3894","DVP0169576",1,1.61831843711844,1,"文山區","興旺里"
"3895","DVP0169580",1,1.61948680033417,1,"大同區","大有里"
"3907","DVP0170115",1,1.54736568627451,1,"大同區","星明里"
"3914","DVP0170361",1,1.59179166666667,1,"文山區","興福里"
"3917","DVP0170469",1,1.53889682539683,1,"士林區","社園里"
"3923","DVP0170719",1,1.5046,1,"內湖區","樂康里"
"3925","DVP0170741",1,1.61212222222222,1,"內湖區","南湖里"
"3940","DVP0171308",1,1.62878860613071,1,"北投區","中央里"
"3948","DVP0171785",1,1.67370199221963,1,"信義區","黎平里"
"3950","DVP0171955",1,1.54415526695527,1,"士林區","天和里"
"3973","DVP0172956",1,1.55109349076849,1,"信義區","三張里"
"3978","DVP0173001",1,1.59171526251526,1,"信義區","黎安里"
"3989","DVP0173447",1,1.55194120236489,1,"中正區","文北里"
"3990","DVP0173454",1,1.51698596264846,1,"萬華區","和平里"
"4001","DVP0173907",1,1.62721349206349,1,"士林區","天山里"
"4023","DVP0174961",1,1.66695714285714,1,"南港區","合成里"
"4041","DVP0175634",1,1.63926666666667,1,"大安區","群英里"
"4049","DVP0175905",1,1.62391541504305,1,"大安區","民輝里"
"4068","DVP0176885",1,1.5733130502774,1,"松山區","中正里"
"4076","DVP0177218",1,1.51262380952381,1,"松山區","慈祐里"
"4087","DVP0177753",1,1.51270646020646,1,"大安區","光信里"
"4100","DVP0178101",1,1.54695952380952,1,"文山區","萬美里"
"4103","DVP0178183",1,1.52282857142857,1,"文山區","興旺里"
"4105","DVP0178186",1,1.79341992351957,1,"文山區","興豐里"
